tahun,provinsi,kabupaten_kota,lembar_kerja,pelabuhan,wpp,jenis_kapal,jenis_api,kelompok,jenis_ikan,produksi,nilai_produksi_rp
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KAKAP,KAKAP MAILAH,2.82,118482
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KAKAP,KAKAP MERAH UTARA,4.36,239855
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KERAPU,KERAPU BALONG,5.01,325325
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KERAPU,KERAPU BATU,2.11,94860
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KERAPU,KERAPU SUNU,0.77,46260
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",ALU-ALU,ALU-ALU OBTUSE; BARAKUDA OBTUSE,1.02,17255
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",BAWAL,BAWAL HITAM,0.89,53220
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",BELOSO,ACANG-ACANG BOMBAY,3.72,111480
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",BULU AYAM,BULU AYAM,1.87,18710
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",GOLOK-GOLOK,GOLOK-GOLOK,1.07,12792
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KEMBUNG,KEMBUNG,1.72,72030
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KEPITING,KEPITING,18.76,468950
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KERONG-KERONG,KERONG-KERONG,9.07,72568
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KURISI,KERISI,1.45,21720
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KURO,KURO; SENANGIN,1.34,26840
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KUWE,KUWE,0.81,36225
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KUWE,LEMAH,1.30,45395
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",LEMURU,SIRO,10.80,215980
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",PEPEREK,PETEK PUGNOSE,3.40,40812
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",SELAR,SELAR KUNING,8.87,221675
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",TALANG-TALANG,TALANG-TALANG,1.53,15300
2021,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",TENGGIRI,TENGGIRI,2.66,106400
