tahun,provinsi,kabupaten_kota,lembar_kerja,pelabuhan,wpp,jenis_kapal,jenis_api,kelompok,jenis_ikan,produksi,nilai_produksi_rp
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,BUBU,KAKAP,KAKAP MAILAH,5.95,249942
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,BUBU,KAKAP,KAKAP MERAH UTARA,12.21,671715
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,BUBU,KERAPU,KERAPU BALONG,16.10,1046240
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,BUBU,KERAPU,KERAPU BATU,3.51,158040
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,BUBU,KERAPU,KERAPU SUNU,3.49,209460
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",ALU-ALU,ALU-ALU OBTUSE; BARAKUDA OBTUSE,1.06,17969
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",BAWAL,BAWAL HITAM,0.89,53160
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",BELOSO,ACANG-ACANG BOMBAY,3.54,106230
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",BULU AYAM,BULU AYAM,1.78,17820
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",GOLOK-GOLOK,GOLOK-GOLOK,1.14,13632
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KEMBUNG,KEMBUNG,1.56,65478
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KEPITING,KEPITING,18.53,463150
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KERONG-KERONG,KERONG-KERONG,8.86,70856
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KURISI,KERISI,1.40,20955
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KURO,KURO; SENANGIN,1.31,26200
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KUWE,KUWE,0.75,33615
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KUWE,LEMAH,1.24,43505
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",LEMURU,SIRO,10.62,212340
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",PEPEREK,PETEK PUGNOSE,3.19,38220
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",SELAR,SELAR KUNING,8.94,223525
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",TALANG-TALANG,TALANG-TALANG,1.51,15100
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",TENGGIRI,TENGGIRI BATANG; TENGGIRI INDIA,3.54,123970
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI DENGAN TRAMMEL NET,BELOSO,ACANG-ACANG BOMBAY,39.57,1187160
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI DENGAN TRAMMEL NET,BULU AYAM,BULU AYAM,3.11,31140
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI DENGAN TRAMMEL NET,KEMBUNG,KEMBUNG,2.89,121422
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI DENGAN TRAMMEL NET,KEPITING,KEPITING,22.32,557950
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI DENGAN TRAMMEL NET,LEMURU,SIRO,31.41,628220
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI DENGAN TRAMMEL NET,TENGGIRI,TENGGIRI,1.48,59160
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG TETAP, JARING LIONG BUN",GOLOK-GOLOK,GOLOK-GOLOK,8.29,99480
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG TETAP, JARING LIONG BUN",HIU,HIU KEPALA MARTIL BERGERIGI,10.16,223476
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG TETAP, JARING LIONG BUN",HIU,HIU LANJAMAN,11.77,258852
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG TETAP, JARING LIONG BUN",KEPITING,KEPITING,11.31,282775
2023,ACEH,ACEH BARAT,NON PELABUHAN,,WPP-RI-572,KM_0005,"JARING INSANG TETAP, JARING LIONG BUN",KUWE,KUWE BIBIR TEBAL,10.63,425160
