tahun,provinsi,kabupaten_kota,lembar_kerja,pelabuhan,wpp,jenis_kapal,jenis_api,kelompok,jenis_ikan,produksi,nilai_produksi_rp
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,HUHATE,KAKAP,KAKAP MERAH,31.34,1305885
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,HUHATE,KEMBUNG,KEMBUNG,48.44,1152073
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,HUHATE,KUWE,KUWE TUTUL,3.08,142816
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,HUHATE,LAYUR,LAYUR,53.71,644532
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,HUHATE,PEPEREK,PEPEREK BONDOLAN,2.52,37785
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,HUHATE,SELAR,SELAR HIJAU,13.62,279973
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,HUHATE,TENGGIRI,TENGGIRI,22.22,693104
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,HUHATE,TONGKOL,TONGKOL ABU-ABU,78.01,3621880
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,HUHATE,TUNA,TUNA MATA BESAR,19.60,1665745
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG BERLAPIS, JARING KLITIK",KAKAP,KAKAP MERAH,84.29,3512070
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG BERLAPIS, JARING KLITIK",KEMBUNG,KEMBUNG,130.27,3098413
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG BERLAPIS, JARING KLITIK",KUWE,KUWE TUTUL,8.27,384061
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG BERLAPIS, JARING KLITIK",LAYUR,LAYUR,144.45,1733400
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG BERLAPIS, JARING KLITIK",PEPEREK,PEPEREK BONDOLAN,6.78,101625
2020,ACEH,ACEH BARAT,NON PELABUHAN,-,WPP-RI-572,KM_0005,"JARING INSANG BERLAPIS, JARING KLITIK",SELAR,SELAR HIJAU,36.63,752966
