zona,tier,tahun,bulan,t_tengah,t_absolut,hari,n_episode,n_hari_terpicu,cos1,sin1,cos2,sin2,musim,u_k
573-A,1,2005,11,319,1779,30,1,4,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,2.2909
573-A,1,2005,12,349,1809,31,1,2,0.956294,-0.292406,0.828997,-0.559252,Barat,2.2909
573-A,1,2006,1,15,1840,31,1,4,0.972156,0.234334,0.890175,0.455618,Barat,2.2909
573-A,1,2006,2,46,1871,28,0,0,0.718044,0.695998,0.031174,0.999514,Barat,2.2909
573-A,1,2006,3,74,1899,31,0,0,0.313921,0.949449,-0.802907,0.596104,Peralihan I,2.2909
573-A,1,2006,4,105,1930,30,1,1,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,2.2909
573-A,1,2006,5,135,1960,31,1,2,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,2.2909
573-A,1,2006,6,166,1991,30,3,9,-0.953095,0.30267,0.816781,-0.576948,Timur,2.2909
573-A,1,2006,7,196,2021,31,4,16,-0.978326,-0.20707,0.914244,0.405165,Timur,2.2909
573-A,1,2006,8,227,2052,31,2,10,-0.737217,-0.675656,0.086977,0.99621,Timur,2.2909
573-A,1,2006,9,258,2083,30,4,7,-0.291378,-0.956608,-0.830198,0.557468,Peralihan II,2.2909
573-A,1,2006,10,288,2113,31,2,11,0.218626,-0.975809,-0.904405,-0.426674,Peralihan II,2.2909
573-A,1,2006,11,319,2144,30,0,0,0.684328,-0.729175,-0.063391,-0.997989,Peralihan II,2.2909
573-A,1,2006,12,349,2174,31,0,0,0.955028,-0.296516,0.824157,-0.566362,Barat,2.2909
573-A,1,2007,1,15,2205,31,1,1,0.973155,0.230151,0.894061,0.447945,Barat,2.2909
573-A,1,2007,2,46,2236,28,0,0,0.721031,0.692903,0.03977,0.999209,Barat,2.2909
573-A,1,2007,3,74,2264,31,1,6,0.318001,0.94809,-0.79775,0.602988,Peralihan I,2.2909
573-A,1,2007,4,105,2295,30,0,0,-0.208122,0.978103,-0.91337,-0.407129,Peralihan I,2.2909
573-A,1,2007,5,135,2325,31,2,5,-0.66368,0.748017,-0.119059,-0.992887,Peralihan I,2.2909
573-A,1,2007,6,166,2356,30,1,2,-0.951785,0.306767,0.811789,-0.583951,Timur,2.2909
573-A,1,2007,7,196,2386,31,3,14,-0.979208,-0.202861,0.917695,0.397286,Timur,2.2909
573-A,1,2007,8,227,2417,31,3,13,-0.740116,-0.67248,0.095543,0.995425,Timur,2.2909
573-A,1,2007,9,258,2448,30,3,12,-0.295489,-0.955346,-0.825373,0.564588,Peralihan II,2.2909
573-A,1,2007,10,288,2478,31,0,0,0.214427,-0.97674,-0.908042,-0.418879,Peralihan II,2.2909
573-A,1,2007,11,319,2509,30,1,1,0.681185,-0.732111,-0.071973,-0.997407,Peralihan II,2.2909
573-A,1,2007,12,349,2539,31,2,3,0.953744,-0.30062,0.819255,-0.57343,Barat,2.2909
573-A,1,2008,1,15,2570,31,0,3,0.974136,0.225964,0.897881,0.440238,Barat,2.2909
573-A,1,2008,2,46,2601,29,1,14,0.724004,0.689796,0.048363,0.99883,Barat,2.2909
573-A,1,2008,3,75,2630,31,0,0,0.305743,0.952114,-0.813042,0.582205,Peralihan I,2.2909
573-A,1,2008,4,106,2661,30,0,0,-0.220724,0.975336,-0.902562,-0.43056,Peralihan I,2.2909
573-A,1,2008,5,136,2691,31,3,5,-0.673275,0.739392,-0.093402,-0.995628,Peralihan I,2.2909
573-A,1,2008,6,167,2722,30,3,6,-0.955663,0.294462,0.826585,-0.562812,Timur,2.2909
573-A,1,2008,7,197,2752,31,4,14,-0.976509,-0.215477,0.907139,0.420831,Timur,2.2909
573-A,1,2008,8,228,2783,31,2,4,-0.731378,-0.681972,0.069828,0.997559,Timur,2.2909
573-A,1,2008,9,259,2814,30,4,10,-0.283139,-0.959079,-0.839665,0.543105,Peralihan II,2.2909
573-A,1,2008,10,289,2844,31,2,3,0.227011,-0.973892,-0.896932,-0.442168,Peralihan II,2.2909
573-A,1,2008,11,320,2875,30,1,2,0.690574,-0.723262,-0.046215,-0.998932,Peralihan II,2.2909
573-A,1,2008,12,350,2905,31,0,0,0.957543,-0.288291,0.833777,-0.552101,Barat,2.2909
