rancangan,n_sel,hari_bayar_thn_med,premi_musim_med,he_med,he_q1,he_q3,pct_he_negatif,fn_med,ce_gain_med,pct_ce_negatif
"A. absolut 2,0 m + indeks WPP",189,71.25,1131250.0,-0.08099000868170525,-1.9192471159684277,0.14924447080011427,51.85185185185185,36.58536585365854,113312.88057522243,41.269841269841265
"B. absolut 2,0 m + indeks zona",189,10.5,262500.0,0.05845694768122911,0.0,0.4740740740740741,21.693121693121693,52.42718446601942,29756.04231523536,24.33862433862434
C. relatif p90 lokal + indeks zona,218,36.5,787500.0,0.5253626123952793,0.3563648570495524,0.6064045964724295,5.5045871559633035,32.19178082191781,559568.7843966419,5.045871559633028
