skenario,subsidi,kapal,anggaran_subsidi_M
Lama A 20%,0.0,59474.28222222223,0.0
Lama A 20%,0.5,59474.28222222223,206.0756522026772
Lama A 20%,0.7,59474.28222222223,288.50591308374806
Lama A 20%,0.8,59474.28222222223,329.7210435242836
Final 12%+RI,0.0,59474.28222222223,0.0
Final 12%+RI,0.5,59474.28222222223,174.70443137453657
Final 12%+RI,0.7,59474.28222222223,244.58620392435117
Final 12%+RI,0.8,59474.28222222223,279.52709019925857
