sampel,tier,n,gamma,se,p,HE,r2
semua provinsi,1,556,0.006307522282112732,0.04291635492030708,0.883208208557133,3.9705967806447084e-05,0.7916335737984268
semua provinsi,2,556,-0.00724387019072581,0.05248675831443506,0.8902809834502247,3.501286998619513e-05,0.7916325958755768
semua provinsi,3,556,0.010445268671507524,0.08209314028963391,0.8987999946316965,2.975868037280449e-05,0.7916315010353928
tangkap murni,1,245,-0.08353077490241383,0.06262695203121203,0.1835552799587897,0.007450310640108815,0.833972182613472
tangkap murni,2,245,-0.11765992795149999,0.07799348768408258,0.13273637983505765,0.009511338449934348,0.8343169391052693
tangkap murni,3,245,-0.2374740547911645,0.12215019560609541,0.05306499841372128,0.015697277726634318,0.8353516862898243
