zona,tier,J,a0,a1,a2,a3,b1,b2,b3,gamma,aic,bic,phi_dispersi,lr_p_vs_J0,ks_p_rescaling,n_episode_total,lambda_per_tahun,tren_persen_per_tahun
573-A,1,3,-3.3099390156043147,-0.9099503091121797,0.12167684716940093,0.23045418100279702,-0.3043709261210409,0.2910361478590838,0.32507944787773846,-0.0035361022490388826,745.5269213591026,775.1571811563522,0.6450241229024221,4.392207936409145e-42,2.0073763420139232e-17,421,16.84046106669587,-0.3529857602219466
573-A,2,3,-3.691307062375476,-1.1115832106714103,0.15000923291660978,0.16128475019114175,-0.3309295326500743,0.3809289673902848,0.300650617032582,-0.0061089361347942284,645.4120954179538,675.0423552152033,0.7276390487716617,1.2099959950232423e-41,2.677124573790525e-09,310,12.400339502792683,-0.6090314523152895
573-A,3,3,-4.287045991346904,-1.3209310544137915,0.03457196964056952,0.04134176623259744,-0.2876467090811068,0.5292449783403016,0.3618318871034705,-0.002432471007010698,551.2449420042019,580.8752018014516,0.9947368718075387,1.0469837692103183e-31,0.04456866313808072,200,8.000219034059796,-0.24295149467401522
573-D,1,3,-3.5337845078816423,-0.7733024538009389,0.468296138403806,0.2997571710210585,0.06578891177552593,0.5291506493734202,0.3063589275186135,0.0015566567800427802,724.5284385405771,754.1586983378268,0.7525628244071404,5.3428514189001664e-33,5.2764285367917004e-09,358,14.320392070967035,0.15578689991295747
573-D,2,3,-3.770374921637693,-0.7848213535841858,0.6181895287417972,0.1869160894952946,-0.004052709687614883,0.5736317636348782,0.32363245518131234,6.476202984679572e-05,661.6244684694685,691.2547282667181,0.788423875092403,1.8603576241733766e-33,1.3424092085677273e-07,293,11.720320884897601,0.006476412695222145
573-D,3,3,-4.308067751276317,-0.7494578904015424,0.7755381536945573,0.2987447747074413,0.16146092746601565,0.7915346080262439,0.5453708894186338,-0.01086458941514802,506.5869072971924,536.217167094442,0.8209777090394936,6.645205874498232e-20,0.05478176797222534,165,6.600180703099332,-1.0805782925701446
573-F,1,3,-4.122301724778495,-1.2000124914819768,0.7564181381022638,0.5148468910285097,0.736414634799727,0.7644185822358753,0.2981683894990321,0.01180555797839662,625.1611232834755,654.7913830807252,0.7773284876902635,4.0907160627526735e-48,4.1008467589660646e-11,311,12.440340597962983,1.1875518615044545
573-F,2,3,-4.338691589926304,-1.2374606802795005,0.8437389668056288,0.4247576558388989,0.7747623566899409,0.7498447910132799,0.40541320164489636,0.008052857464286526,560.8413022350921,590.4715620323418,0.6937573862147957,1.7098580587573664e-44,1.6214312976511296e-08,254,10.160278173255941,0.8085368932433612
573-F,3,3,-4.878906107151069,-1.326292102681308,0.9209688126842737,0.31996259064376276,0.9442577112064185,0.7438243373300857,0.37069072857140895,0.005855289194626412,455.66890970622836,485.29916950347797,0.7288990607907321,1.9587554627458176e-32,3.4029656779906315e-05,160,6.4001752272478365,0.587246490696014
