skenario,subsidi,kapal,anggaran_subsidi_M
A ketat,0.0,59474.28222222223,0.0
A ketat,0.5,59474.28222222223,206.0756522026772
A ketat,0.8,59474.28222222223,329.7210435242836
B ramah,0.0,59474.28222222223,0.0
B ramah,0.5,59474.28222222223,183.67022373833785
B ramah,0.8,59474.28222222223,293.87235798134066
