zona,tier,P_rugi,p,q,u_z,HE_rata,HE_p10,HE_min,FN_buruk_rata,FN_buruk_p90,p_bayar,hari_bayar_thn,premi_murni_thn
573-A,2,90,76,0.5,2.1311,0.20371494276515,0.08381875754566355,0.030167113275754276,0.3208997612641234,0.3642292490118577,0.46464646464646464,9.49,6348810.0
573-A,2,90,77,0.0,2.1489,0.041858559427294065,-0.11039741814548798,-0.26162409730659486,0.0,0.0,0.98989898989899,57.776666666666664,38652590.0
573-A,2,90,77,0.25,2.1489,0.15579308278133858,0.0057059813359977936,-0.06491105529653707,0.12034259096109798,0.13794466403162056,0.6666666666666666,15.760000000000002,10543440.000000002
573-A,2,90,77,0.5,2.1489,0.20738400299926502,0.10617057987176715,0.052597206530153984,0.32911200673875524,0.37124505928853757,0.4444444444444444,8.469999999999999,5666429.999999999
573-A,2,90,78,0.0,2.1646,0.07246595328084902,-0.08283988436971619,-0.2569579061608396,0.0,0.0,0.98989898989899,56.44166666666666,37759475.0
573-A,2,90,78,0.25,2.1646,0.2109944129102834,0.08271095303262009,-0.004477694392249987,0.0932404989290958,0.11390063424947146,0.6868686868686869,19.218333333333334,12857065.0
573-A,2,90,78,0.5,2.1646,0.2875909896862139,0.19267046149362804,0.16068849293249599,0.3405106021158809,0.38636363636363635,0.43434343434343436,8.523333333333333,5702110.0
573-A,2,90,79,0.0,2.1806,0.12993693554933647,-0.023028803517509754,-0.20793346347589803,0.0014338575393154488,0.0,0.9797979797979798,54.910000000000004,36734790.0
573-A,2,90,79,0.25,2.1806,0.34972248715952947,0.22682465056442064,0.14474833795202935,0.06546061013406143,0.07619565217391305,0.6868686868686869,17.843333333333334,11937190.0
573-A,2,90,79,0.5,2.1806,0.3580404039111103,0.2699702822624079,0.2434326585412533,0.27725441856957944,0.31979218208807525,0.45454545454545453,8.52,5699880.0
573-A,2,90,80,0.0,2.1963,0.19714911616510009,0.03790782184148217,-0.15969311837057854,0.0014338575393154488,0.0,0.9797979797979798,53.653333333333336,35894080.0
573-A,2,90,80,0.25,2.1963,0.4207677532788007,0.3012011737524986,0.20922570016474462,0.06854781379748678,0.08735177865612649,0.6767676767676768,18.308333333333334,12248275.0
573-A,2,90,80,0.5,2.1963,0.44052933585148624,0.358143779001462,0.3266983947045605,0.2230295305718277,0.2608695652173913,0.47474747474747475,9.23,6174870.0
573-A,2,90,81,0.0,2.2133,0.24027306797991124,0.10112149368068557,-0.10041141659727204,0.0014338575393154488,0.0,0.9797979797979798,51.995,34784655.0
573-A,2,90,81,0.25,2.2133,0.4429643055350068,0.3241924832305496,0.25668986612321865,0.05858229293563769,0.07619565217391305,0.696969696969697,19.803333333333335,13248430.0
573-A,2,90,81,0.5,2.2133,0.4561558963378039,0.36536790950751274,0.34041003636436606,0.20937688923144007,0.24608695652173915,0.47474747474747475,9.256666666666666,6192709.999999999
573-A,2,90,82,0.0,2.2319,0.27103508695166334,0.13856036393274526,-0.0581674129387193,0.0014338575393154488,0.0,0.9797979797979798,50.545,33814605.0
573-A,2,90,82,0.25,2.2319,0.4814993847536541,0.3732664635510991,0.2579962595388585,0.05947334076470588,0.07178571428571429,0.696969696969697,19.673333333333332,13161460.0
573-A,2,90,82,0.5,2.2319,0.47638718119617146,0.3878583105916615,0.36990583749987704,0.23193633601393607,0.26205533596837943,0.4444444444444444,8.57,5733330.0
573-A,2,90,83,0.0,2.2506,0.3027475774387023,0.16034325197151317,-0.022606582665556374,0.0014338575393154488,0.0,0.9595959595959596,49.006666666666675,32785460.000000004
573-A,2,90,83,0.25,2.2506,0.5077817448502299,0.4121536325467109,0.288309864442412,0.05336526326380734,0.06976744186046512,0.696969696969697,20.01833333333333,13392264.999999998
573-A,2,90,83,0.5,2.2506,0.5288468711920242,0.4476014401364918,0.4287871025450284,0.19143008978933,0.21956521739130438,0.48484848484848486,10.62,7104779.999999999
573-A,2,90,84,0.0,2.2687,0.34536365330492996,0.2229075196213655,0.04640083000013684,0.0014338575393154488,0.0,0.9494949494949495,47.06666666666667,31487600.000000004
573-A,2,90,84,0.25,2.2687,0.5648745498857176,0.4586292027760094,0.3465114056762181,0.0527065995229415,0.06976744186046512,0.696969696969697,19.72,13192680.0
