zona,tier,skenario,subsidi,n_sel,premi_dibayar,d_sd_pct,d_p90_pct,d_maks_pct,d_rata_pct,sel_p90_membaik,sel_maks_membaik,rasio_tutup,tutup_tahun_buruk,hari_hilang_timur,hari_dibayar_timur
573-A,1,A ketat,0.0,30,6035771.9975,-51.31557740825428,4.475788982023832,3.771145100796991,18.04361106744221,3.3333333333333335,30.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,A ketat,0.5,30,3017885.99875,-51.315577408254256,-16.59163489699055,-15.789064111579965,-8.192468951422727,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,A ketat,0.8,30,1207154.3994999996,-51.31557740825426,-29.232089224399104,-27.525189639006076,-23.93411696274168,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,B ramah,0.0,30,5358644.055058824,-51.3155774082543,-0.25114284695901823,-0.6176105457654124,12.156979535219193,56.666666666666664,56.666666666666664,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,B ramah,0.5,30,2679322.027529412,-51.31557740825428,-18.95510081148194,-17.983441934861144,-11.135784717534225,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,B ramah,0.8,30,1071728.8110117645,-51.31557740825428,-30.17747559019567,-28.40294076831854,-25.111443269186307,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,2,A ketat,0.0,30,15804493.631249998,-47.526652354632674,4.508786643270035,3.610546626352651,22.73940230848348,6.666666666666667,26.666666666666668,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,A ketat,0.5,30,7902246.815624999,-47.526652354632674,-19.876077363749,-18.94584062698921,-9.658069216410858,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,A ketat,0.8,30,3160898.726249999,-47.526652354632674,-34.50699576796033,-32.47967297899423,-29.096552131347387,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,B ramah,0.0,30,14021269.556470588,-47.526652354632674,-0.993911206100917,-1.479536451117669,15.428576345551015,70.0,60.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,B ramah,0.5,30,7010634.778235294,-47.526652354632674,-22.627426288434428,-21.490882165724322,-13.313482197877036,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,B ramah,0.8,30,2804253.911294117,-47.526652354632674,-35.60753533783457,-33.49768959448834,-30.55871732393389,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-F,1,A ketat,0.0,19,5461419.105,-34.53367397636195,4.3870128079693815,7.584462933118474,15.454638019272426,10.526315789473683,10.526315789473683,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,A ketat,0.5,19,2730709.5525,-34.53367397636195,-15.942222493996239,-10.833070709105531,-9.836884042602234,100.0,94.73684210526315,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,A ketat,0.8,19,1092283.8209999998,-34.53367397636195,-28.139763675175654,-21.88359089443995,-25.011797279727045,100.0,100.0,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,B ramah,0.0,19,5117789.028705882,-34.53367397636197,1.8287998074618894,5.266816779636918,12.271975239278255,31.57894736842105,15.789473684210526,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,B ramah,0.5,19,2558894.514352941,-34.53367397636195,-17.22132899425002,-11.991893785846319,-11.42821543259933,100.0,100.0,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,B ramah,0.8,19,1023557.8057411761,-34.53367397636195,-28.651406275277157,-22.347120125136264,-25.648329835725903,100.0,100.0,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
