struktur,harga,lam,E_ret,modal_ret,E_ced,P_RI,loading_RI,multiple_RI,E_gov,p_sentuh_RI,p_sentuh_gov,margin_A ketat,bruto_A ketat,margin_B ramah,bruto_B ramah,d_bruto_pct_A ketat,d_bruto_pct_B ramah
S2 XoL agregat 3->50 thn,coc_div,,253291190806.3544,217305219293.99686,32725694795.1562,38878312873.30071,6152618078.144512,1.1880057281184195,0.0,0.33308,0.0,27883140007.5442,392375032011.3185,19190931235.784325,359068019808.5823,-4.79830396814317,-2.25197843714684
S2 XoL agregat 3->100 thn,coc_div,,252642140569.7947,173224800480.82327,33374745031.71584,40761614836.62921,7386869804.913372,1.2213311232158828,0.0,0.33308,0.0,24709349852.9957,388407794318.13293,17780357833.762768,357408521688.55695,-5.760872241197501,-2.7037386860997437
S2 XoL agregat 3->200 thn,coc_div,,252353086059.9667,133896821112.30582,33663799541.543854,42151852768.77572,8488053227.231865,1.2521418658270265,0.0,0.33308,0.0,21877735338.46245,384868276174.9663,16521862493.970215,355927938935.8598,-6.619663201054681,-3.106793335503999
S2 XoL agregat 3->500 thn,coc_div,,252204586912.1238,85703688658.41837,33812298689.386765,43127789168.39932,9315490479.012558,1.2755059797793804,0.0,0.33308,0.0,17885859344.854393,379878431182.95624,14457711798.51766,353499526352.9744,-7.830346010662515,-3.7678728870661926
S2 XoL agregat 3->inf thn,coc_div,,252109958504.22757,85514437520.21677,33906927097.283,43749687065.09335,9842759967.810352,1.290287584586191,0.0,0.33308,0.0,18394203719.83203,380513861651.6783,14973626219.023357,354106484494.7459,-7.676171933829535,-3.6026424731706364
S2 XoL agregat 4->50 thn,coc_div,,263960480042.56735,243315564135.56168,22056405558.943226,27480733981.52392,5424328422.580692,1.2459298460070838,0.0,0.24997,0.0,29755884836.13686,394715963047.0593,20023262270.714394,360047232790.85297,-4.2303254100943715,-1.9854101926213397
S2 XoL agregat 4->100 thn,coc_div,,263311429806.00772,199235145322.38815,22705455795.50287,29364035944.852425,6658580149.349556,1.2932590391190641,0.0,0.24997,0.0,26582094681.58837,390748725353.8737,18612688868.692844,358387734670.82764,-5.192893683148725,-2.4371704415742435
S2 XoL agregat 4->200 thn,coc_div,,263022375296.17972,159907165953.8705,22994510305.33089,30754273876.998936,7759763571.668045,1.3374615709850135,0.0,0.24997,0.0,23750480167.0551,387209207210.70715,17354193528.900276,356907151918.1305,-6.051684643005883,-2.8402250909784987
S2 XoL agregat 4->500 thn,coc_div,,262873876148.3368,111808652445.53076,23143009453.1738,31730210276.622543,8587200823.448742,1.3710494454415523,0.0,0.24997,0.0,19768066068.00182,382231189586.89056,15295719970.180588,354485418319.6367,-7.259497786045377,-3.4994864424384486
S2 XoL agregat 4->inf thn,coc_div,,262779247740.44055,111524782361.78174,23237637861.07003,32352108173.316566,9114470312.246536,1.3922287784472271,0.0,0.24997,0.0,20266948548.424713,382854792687.4191,15805957253.953442,355085697477.01654,-7.108193375780736,-3.3360742286451583
