struktur,harga,lam,zona,tier,premi_murni,bruto_A ketat,bruto_B ramah
S2 XoL agregat 4->50 thn,wang,0.2,573-F,1,4321598.76,5392171.9074597005,5110845.003669387
S2 XoL agregat 4->100 thn,wang,0.2,573-A,1,4144192.22,5742573.746833248,5252936.781652457
S2 XoL agregat 4->100 thn,wang,0.2,573-A,2,10829805.45,15027409.113298807,13738917.181889465
S2 XoL agregat 4->100 thn,wang,0.2,573-F,1,4321598.76,5359181.014834175,5093574.569901188
S2 XoL agregat 4->200 thn,wang,0.2,573-A,1,4144192.22,5671742.782269367,5214398.423844871
S2 XoL agregat 4->200 thn,wang,0.2,573-A,2,10829805.45,14840755.289135851,13637359.515753424
S2 XoL agregat 4->200 thn,wang,0.2,573-F,1,4321598.76,5328213.035606284,5076734.421352129
S2 XoL agregat 4->500 thn,wang,0.2,573-A,1,4144192.22,5571260.72641677,5158496.194721646
S2 XoL agregat 4->500 thn,wang,0.2,573-A,2,10829805.45,14553544.165051218,13477393.235513167
S2 XoL agregat 4->500 thn,wang,0.2,573-F,1,4321598.76,5442888.59499688,5141851.554752851
S2 XoL agregat 4->inf thn,wang,0.2,573-A,1,4144192.22,5572429.5238883635,5159799.218098507
S2 XoL agregat 4->inf thn,wang,0.2,573-A,2,10829805.45,14556662.497419735,13480868.756109027
S2 XoL agregat 4->inf thn,wang,0.2,573-F,1,4321598.76,5443371.092324142,5142388.910868786
S2 XoL agregat 5->50 thn,wang,0.2,573-A,1,4144192.22,5825425.788979872,5285488.593241832
S2 XoL agregat 5->50 thn,wang,0.2,573-A,2,10829805.45,15246894.602019042,13825665.10026065
S2 XoL agregat 5->50 thn,wang,0.2,573-F,1,4321598.76,5387743.110575771,5101427.29394381
S2 XoL agregat 5->100 thn,wang,0.2,573-A,1,4144192.22,5749424.369137639,5245483.665657676
S2 XoL agregat 5->100 thn,wang,0.2,573-A,2,10829805.45,15046573.14666458,13720205.035783766
S2 XoL agregat 5->100 thn,wang,0.2,573-F,1,4321598.76,5354752.217950244,5084156.86017561
S2 XoL agregat 5->200 thn,wang,0.2,573-A,1,4144192.22,5678593.404573758,5206945.307850088
S2 XoL agregat 5->200 thn,wang,0.2,573-A,2,10829805.45,14859919.322501628,13618647.36964772
S2 XoL agregat 5->200 thn,wang,0.2,573-F,1,4321598.76,5323784.238722354,5067316.711626551
S2 XoL agregat 5->500 thn,wang,0.2,573-A,1,4144192.22,5579186.353776406,5151650.1404051175
S2 XoL agregat 5->500 thn,wang,0.2,573-A,2,10829805.45,14574585.559812501,13459741.24643081
S2 XoL agregat 5->500 thn,wang,0.2,573-F,1,4321598.76,5429257.295055223,5127237.137418204
S2 XoL agregat 5->inf thn,wang,0.2,573-A,1,4144192.22,5580175.482041298,5152851.703524079
S2 XoL agregat 5->inf thn,wang,0.2,573-A,2,10829805.45,14577225.35583442,13462946.534736827
S2 XoL agregat 5->inf thn,wang,0.2,573-F,1,4321598.76,5429666.110553804,5127732.88497206
S2 XoL agregat 7->50 thn,wang,0.2,573-A,1,4144192.22,5844442.981125149,5282382.076830995
S2 XoL agregat 7->50 thn,wang,0.2,573-A,2,10829805.45,15298241.530696983,13818521.263689177
S2 XoL agregat 7->50 thn,wang,0.2,573-F,1,4321598.76,5388415.041470735,5093636.37772894
S2 XoL agregat 7->100 thn,wang,0.2,573-A,1,4144192.22,5768441.561282916,5242377.149246838
S2 XoL agregat 7->100 thn,wang,0.2,573-A,2,10829805.45,15097920.075342521,13713061.199212292
S2 XoL agregat 7->100 thn,wang,0.2,573-F,1,4321598.76,5355424.148845209,5076365.943960739
S2 XoL agregat 7->200 thn,wang,0.2,573-A,1,4144192.22,5697610.596719035,5203838.791439252
S2 XoL agregat 7->200 thn,wang,0.2,573-A,2,10829805.45,14911266.251179568,13611503.533076249
S2 XoL agregat 7->200 thn,wang,0.2,573-F,1,4321598.76,5324456.169617319,5059525.795411682
S2 XoL agregat 7->500 thn,wang,0.2,573-A,1,4144192.22,5599738.692379749,5149410.530229425
S2 XoL agregat 7->500 thn,wang,0.2,573-A,2,10829805.45,14630487.677554237,13455169.75191889
S2 XoL agregat 7->500 thn,wang,0.2,573-F,1,4321598.76,5416055.646150094,5111611.729080929
S2 XoL agregat 7->inf thn,wang,0.2,573-A,1,4144192.22,5600368.383394042,5150409.117018634
S2 XoL agregat 7->inf thn,wang,0.2,573-A,2,10829805.45,14632170.137636991,13457834.426988674
S2 XoL agregat 7->inf thn,wang,0.2,573-F,1,4321598.76,5416317.05745846,5112024.236621486
S2 XoL agregat 10->50 thn,wang,0.2,573-A,1,4144192.22,5872506.848717604,5287458.61996342
S2 XoL agregat 10->50 thn,wang,0.2,573-A,2,10829805.45,15373035.51567468,13832618.28748026
S2 XoL agregat 10->50 thn,wang,0.2,573-F,1,4321598.76,5395892.181373077,5091764.929540327
S2 XoL agregat 10->100 thn,wang,0.2,573-A,1,4144192.22,5796505.42887537,5247453.692379262
S2 XoL agregat 10->100 thn,wang,0.2,573-A,2,10829805.45,15172714.060320223,13727158.223003373
S2 XoL agregat 10->100 thn,wang,0.2,573-F,1,4321598.76,5362901.288747551,5074494.495772127
S2 XoL agregat 10->200 thn,wang,0.2,573-A,1,4144192.22,5725674.464311489,5208915.334571675
S2 XoL agregat 10->200 thn,wang,0.2,573-A,2,10829805.45,14986060.236157266,13625600.556867331
S2 XoL agregat 10->200 thn,wang,0.2,573-F,1,4321598.76,5331933.309519661,5057654.347223069
S2 XoL agregat 10->500 thn,wang,0.2,573-A,1,4144192.22,5629836.3727647215,5155635.579409388
S2 XoL agregat 10->500 thn,wang,0.2,573-A,2,10829805.45,14710516.908016289,13472223.149630548
S2 XoL agregat 10->500 thn,wang,0.2,573-F,1,4321598.76,5406738.29119887,5100256.330857362
S2 XoL agregat 10->inf thn,wang,0.2,573-A,1,4144192.22,5629926.939349939,5156329.719462179
S2 XoL agregat 10->inf thn,wang,0.2,573-A,2,10829805.45,14710763.44794673,13474076.95214373
S2 XoL agregat 10->inf thn,wang,0.2,573-F,1,4321598.76,5406778.609118165,5100543.985660561
S2 XoL agregat 15->50 thn,wang,0.2,573-A,1,4144192.22,5910778.668263817,5300376.727062318
S2 XoL agregat 15->50 thn,wang,0.2,573-A,2,10829805.45,15474493.731636014,13867182.430058401
S2 XoL agregat 15->50 thn,wang,0.2,573-F,1,4321598.76,5409566.977655634,5094771.069285857
S2 XoL agregat 15->100 thn,wang,0.2,573-A,1,4144192.22,5834777.248421583,5260371.799478159
S2 XoL agregat 15->100 thn,wang,0.2,573-A,2,10829805.45,15274172.276281552,13761722.365581512
S2 XoL agregat 15->100 thn,wang,0.2,573-F,1,4321598.76,5376576.085030108,5077500.635517656
S2 XoL agregat 15->200 thn,wang,0.2,573-A,1,4144192.22,5763946.283857703,5221833.441670573
S2 XoL agregat 15->200 thn,wang,0.2,573-A,2,10829805.45,15087518.452118598,13660164.69944547
S2 XoL agregat 15->200 thn,wang,0.2,573-F,1,4321598.76,5345608.1058022175,5060660.486968598
S2 XoL agregat 15->500 thn,wang,0.2,573-A,1,4144192.22,5670117.217239803,5169688.19470341
S2 XoL agregat 15->500 thn,wang,0.2,573-A,2,10829805.45,14818337.953696001,13510380.41957907
S2 XoL agregat 15->500 thn,wang,0.2,573-F,1,4321598.76,5406928.836066999,5095647.834510037
S2 XoL agregat 15->inf thn,wang,0.2,573-A,1,4144192.22,5669310.2998804925,5169875.520293409
S2 XoL agregat 15->inf thn,wang,0.2,573-A,2,10829805.45,14816194.10800704,13510884.357271884
S2 XoL agregat 15->inf thn,wang,0.2,573-F,1,4321598.76,5406601.098383116,5095727.64614909
S2 XoL agregat 20->50 thn,wang,0.2,573-A,1,4144192.22,5938810.947168283,5311976.248004515
S2 XoL agregat 20->50 thn,wang,0.2,573-A,2,10829805.45,15548620.947801383,13897972.97448426
S2 XoL agregat 20->50 thn,wang,0.2,573-F,1,4321598.76,5420616.4091972,5098790.464145689
S2 XoL agregat 20->100 thn,wang,0.2,573-A,1,4144192.22,5862809.527326049,5271971.320420357
S2 XoL agregat 20->100 thn,wang,0.2,573-A,2,10829805.45,15348299.492446925,13792512.91000737
S2 XoL agregat 20->100 thn,wang,0.2,573-F,1,4321598.76,5387625.516571674,5081520.030377489
S2 XoL agregat 20->200 thn,wang,0.2,573-A,1,4144192.22,5791978.562762167,5233432.9626127705
S2 XoL agregat 20->200 thn,wang,0.2,573-A,2,10829805.45,15161645.668283971,13690955.24387133
S2 XoL agregat 20->200 thn,wang,0.2,573-F,1,4321598.76,5356657.537343783,5064679.881828431
S2 XoL agregat 20->500 thn,wang,0.2,573-A,1,4144192.22,5699992.653914383,5182328.557680497
S2 XoL agregat 20->500 thn,wang,0.2,573-A,2,10829805.45,14897382.635012573,13543947.885502076
S2 XoL agregat 20->500 thn,wang,0.2,573-F,1,4321598.76,5407481.901893814,5093739.869907423
S2 XoL agregat 20->inf thn,wang,0.2,573-A,1,4144192.22,5698285.737715579,5182007.648631723
S2 XoL agregat 20->inf thn,wang,0.2,573-A,2,10829805.45,14892841.705457626,13543098.175835272
S2 XoL agregat 20->inf thn,wang,0.2,573-F,1,4321598.76,5406785.077255508,5093611.255972212
S3 XoL 2->20 + pemerintah >20 thn,wang,0.2,573-A,1,4144192.22,5553402.263546049,5188111.984395515
S3 XoL 2->20 + pemerintah >20 thn,wang,0.2,573-A,2,10829805.45,14504671.084602093,13553063.580135716
S3 XoL 2->20 + pemerintah >20 thn,wang,0.2,573-F,1,4321598.76,5509672.501738516,5207369.300423574
S3 XoL 2->50 + pemerintah >50 thn,wang,0.2,573-A,1,4144192.22,5574887.674175988,5208331.590590142
