zona,tier,u_k,n_lampau,theta_FS,gugus_rata_1_per_theta,durasi_rata_dekluster,hari_lampau_per_episode
573-A,1,2.2909,1369,0.18218274342640395,5.488994079200308,3.3847980997624703,3.2517814726840855
573-A,2,2.4281,913,0.19554903558652387,5.113806861796225,3.054838709677419,2.945161290322581
573-A,3,2.616,457,0.26348323537705526,3.79530788199469,2.325,2.285
573-D,1,1.1974,1370,0.1940859061656911,5.152357632533607,3.9664804469273744,3.8268156424581004
573-D,2,1.274,913,0.23838219537932495,4.194944166902872,3.197952218430034,3.1160409556313993
573-D,3,1.402,457,0.3447185297062634,2.900917455328281,2.8666666666666667,2.7696969696969695
573-F,1,1.2131,1369,0.13957300263856065,7.164709371407649,4.520900321543408,4.401929260450161
573-F,2,1.3239,913,0.18944453751139292,5.278589782193437,3.6929133858267718,3.594488188976378
573-F,3,1.5069,457,0.25596446268207496,3.9067923317232798,2.9125,2.85625
