zona,tier,dijual,HE_p10_halus,hari_bayar_thn,p_bayar,b_k_lama,b_k_baru,premi_lama,premi_baru,perubahan_pct,premi_bulan,pct_R,hari_pendapatan_per_bulan,manfaat_maks_thn,eksposur_kapal,volume_premi_M
573-A,1,True,0.584,18.79,0.677,246000.0,217000.0,4621110.0,4076345.0,-11.788617886178866,339695.4166666667,5.050163738037904,0.8669447750298402,17360000.0,48185,196.4199067285
573-A,2,True,0.662,15.85,0.636,796000.0,669000.0,12613946.666666668,10601420.0,-15.954773869346738,883451.6666666666,3.578155251312134,0.697740274005866,53520000.0,5768,61.152170986
573-A,3,True,0.622,9.56,0.596,3143000.0,670000.0,30052318.333333336,6406316.666666667,-78.68278714603882,533859.7222222222,0.6228759392405563,0.14014708632912515,53600000.0,694,4.445983766666667
573-D,1,False,0.163,15.03,0.707,258000.0,227000.0,3876879.9999999995,3411053.333333333,-12.015503875968992,284254.44444444444,4.0441878111564575,0.6942522409151919,18160000.0,7555,25.76920415294814
573-D,2,False,0.246,14.36,0.717,500000.0,420000.0,7181666.666666666,6032599.999999999,-16.000000000000004,502716.66666666657,3.2406615588191676,0.6319290039697376,33600000.0,1997,12.047289880888885
573-F,1,True,0.441,15.75,0.657,258000.0,227000.0,4063500.0000000005,3575250.0000000005,-12.015503875968992,297937.50000000006,4.238861448028897,0.7276712152449606,18160000.0,5521,19.737819115
573-F,2,False,0.289,13.39,0.636,500000.0,420000.0,6693333.333333334,5622400.000000001,-15.999999999999993,468533.33333333343,3.020305597636988,0.5889595915392126,33600000.0,1459,8.20515564088889
