zona,tier,eksposur,b_k,R_k,premi_murni,premi_murni_total,sd_polis,tvar_polis,modal_euler,pangsa_modal,margin_A ketat,bruto_A ketat,pctR_A ketat,bulan_A ketat,margin_B ramah,bruto_B ramah,pctR_B ramah,bulan_B ramah
573-A,1,48185.3,217000.0,80717085.85004705,4144192.22,199689145378.36603,2131933.9742805054,10988446.0,329792421665.43396,0.7546019356972645,684425.3780000001,6035771.9975,7.477688191956055,502980.99979166663,410655.22680000006,5358644.055058824,6.638797719994372,446553.671254902
573-A,2,5768.3,669000.0,296281722.1559178,10829805.45,62469566777.235,5545439.714655664,28967700.0,104624817132.76501,0.23939327996581336,1813789.4550000008,15804493.631249998,5.334278981587972,1317041.1359374998,1088273.6730000004,14021269.556470588,4.73241125184628,1168439.1297058824
573-F,1,5520.682222222222,227000.0,84344582.71011712,4321598.76,23858173445.909595,2171002.711634986,4796964.0,2624340429.530401,0.006004784336922175,47536.524000000034,5461419.1049999995,6.4751273045837285,455118.25875,28521.914400000023,5117789.028705882,6.067715156402101,426482.4190588235
