zona,tier,premi_murni,rel_A ketat,rel_B ramah,rel_murni
573-A,1,4144192.22,1.0,1.0,1.0
573-A,2,10829805.45,2.618470949167095,2.6165704257280944,2.6132488251232706
573-F,1,4321598.76,0.9048418507627698,0.9550529902941467,1.0428084728174118
